# meta: 2026-08-16T18:39:51Z | mode=real | location=remote | device=XR1710Gaarch64  | modules=all | script=collect.sh v0
# --- module: npu ---
2026-08-16T18:39:51Z	npu.fw_version	dmesg/启动日志含 NPU 固件版本号（出厂参考 0.1111，与实机对照）[来源: 01 §1.25；04 §3 指标来源]	[ 6.399276] airoha-npu 1e900000.npu: NPU fw version: 0.1111	dmesg 2>/dev/null ¦ grep -iE "npu.*fw version¦fw version" ¦ tail -3	OK
2026-08-16T18:39:52Z	npu.firmware_glue	MT7996 前端绑定固件 en7581_MT7996_npu_rv32.bin + en7581_MT7996_npu_data.bin 在场（误配为 MT7992 前端 en7581_npu_rv32.bin 即告警）[来源: 01 §1.25；02 §2 打�	（空输出）	ls -l /lib/firmware/mediatek/ 2>/dev/null ¦ grep -i en7581	NA
2026-08-16T18:39:52Z	npu.reserved_mem	保留区 npu-binary(10MiB) 与 npu-pkt(45MiB) 均在 [来源: 01 §1.25]	1e900000-1ec12fff : 1e900000.npu npu@1e900000 84000000-849fffff : 1e900000.npu npu-binary@84000000	grep -i npu /proc/iomem 2>/dev/null	OK
2026-08-16T18:39:52Z	npu.dts_node	airoha,en7581-npu @0x1E900000 节点在场 [来源: 01 §1.25]	（空输出）	ls /proc/device-tree/ 2>/dev/null ¦ grep -i npu	NA
2026-08-16T18:39:52Z	npu.debugfs_tree	debugfs airoha/flow/ppe 可枚举，含统计/队列节点（可观测证据[④]）[来源: 04 §3 词条④ 可观测可开关]	/sys/kernel/debug/ppe: bind entries	ls -R /sys/kernel/debug/airoha /sys/kernel/debug/flow /sys/kernel/debug/ppe 2>/dev/null ¦ head -60	OK
2026-08-16T18:39:52Z	npu.luci_panel	luci-app-airoha-npu 已装（可观测/开关入口[④]）[来源: 04 §3 词条④；02 §4 社区构建内置]	（空输出）	opkg list-installed 2>/dev/null ¦ grep -iE "airoha-npu¦flowsense"	NA
2026-08-16T18:39:53Z	npu.luci_counters	luci-app-airoha-npu 面板/底层卸载计数可读（命中/开关状态；接口名以实机面板为准滚动收录）[来源: 04 §3 闭环机制；核心口径③ NPU 转发�	luci.airoha_npu	{ ubus list 2>/dev/null ¦ grep -i npu; uci show airoha-npu 2>/dev/null; grep -riE "npu¦offload¦hit¦cnt" /sys/kernel/debug/airoha 2>/dev/null ¦ head -20; }	OK
2026-08-16T18:39:53Z	npu.dmesg_ring	NPU 启动/运行日志无崩溃痕迹（wed 崩溃、0x 异常）[来源: 02 §2 CVE-2025-68360；04 §3 CVE 在场]	[ 0.000000] OF: reserved mem: 0x0000000084000000..0x00000000849fffff (10240 KiB) nomap non-reusable npu-binary@84000000 [ 0.000000] OF: reserved mem: 0x000000008a000000..0x000000008cbfffff (45056 KiB) nomap non-reusable npu-pkt@8a000000 [ 0.000000] OF: reserved mem: 0x000000008cc00000..0x0000000090bfffff (65536 KiB) nomap non-reusable npu-txpkt@8cc00000 [ 0.000000] OF: reserved mem: 0x0000000090c0	dmesg 2>/dev/null ¦ grep -i npu ¦ tail -20	OK
# --- module: mt76 ---
2026-08-16T18:39:53Z	mt76.phy_count	三频各一 phy = 3 [来源: 02 §0]	1	ls -d /sys/kernel/debug/ieee80211/phy* 2>/dev/null ¦ wc -l	OK
2026-08-16T18:39:53Z	mt76.phy0.band	iw 可见 Band 1/2/3 齐备 [来源: 02 §0]	 Band 1: Band 2: Band 4:	iw phy phy0 info 2>/dev/null ¦ grep -E 'Band [0-9]+:'	OK
2026-08-16T18:39:54Z	mt76.phy0.is_6ghz	6GHz radio 正确标记 [来源: 02 §2]	YES (6GHz 频段, max 7200MHz)	iw phy phy0 info → max≥5955MHz 判 6GHz	OK
